dataset,encoder,representation,n_way,k_shot,seed,q_query_train,q_query_test,episodes_train,episodes_eval,epochs,best_epoch,accuracy_mean,ci95,eval_loss,train_samples,test_samples,classes,checkpoint
thai_fingerspelling,transformer,raw_angle,5,5,42,5,5,600,600,5,5,0.884333,0.007692,0.296323,1998,863,42,results\checkpoints\within_domain_trained_thai_fingerspelling_transformer_raw_angle_5shot.pt
asl_alphabet,mlp,raw,5,1,1337,5,5,600,600,5,5,0.980200,0.004035,0.053009,1118,501,36,results\checkpoints\within_domain_trained_asl_alphabet_mlp_raw_1shot.pt
asl_alphabet,mlp,raw,5,3,1337,5,5,600,600,5,5,0.986800,0.002726,0.035008,1118,501,36,results\checkpoints\within_domain_trained_asl_alphabet_mlp_raw_3shot.pt
asl_alphabet,mlp,raw,5,5,1337,5,5,600,600,5,5,0.989267,0.002234,0.032672,1118,501,36,results\checkpoints\within_domain_trained_asl_alphabet_mlp_raw_5shot.pt
arabic_sign_alphabet,mlp,raw,5,1,1337,5,5,600,600,5,5,0.949333,0.005780,0.149047,4952,2142,31,results\checkpoints\within_domain_trained_arabic_sign_alphabet_mlp_raw_1shot.pt
arabic_sign_alphabet,mlp,raw,5,3,1337,5,5,600,600,5,5,0.977333,0.003104,0.070553,4952,2142,31,results\checkpoints\within_domain_trained_arabic_sign_alphabet_mlp_raw_3shot.pt
arabic_sign_alphabet,mlp,raw,5,5,1337,5,5,600,600,5,5,0.980800,0.002588,0.057689,4952,2142,31,results\checkpoints\within_domain_trained_arabic_sign_alphabet_mlp_raw_5shot.pt
libras_alphabet,mlp,raw,5,1,1337,5,5,600,600,5,5,0.986400,0.003151,0.037133,31973,13713,21,results\checkpoints\within_domain_trained_libras_alphabet_mlp_raw_1shot.pt
libras_alphabet,mlp,raw,5,3,1337,5,5,600,600,5,5,0.993533,0.001998,0.020038,31973,13713,21,results\checkpoints\within_domain_trained_libras_alphabet_mlp_raw_3shot.pt
libras_alphabet,mlp,raw,5,5,1337,5,5,600,600,5,5,0.994133,0.001836,0.016419,31973,13713,21,results\checkpoints\within_domain_trained_libras_alphabet_mlp_raw_5shot.pt
thai_fingerspelling,mlp,raw,5,1,1337,5,5,600,600,5,5,0.748067,0.011855,0.790379,1998,863,42,results\checkpoints\within_domain_trained_thai_fingerspelling_mlp_raw_1shot.pt
thai_fingerspelling,mlp,raw,5,3,1337,5,5,600,600,5,5,0.837933,0.008934,0.509205,1998,863,42,results\checkpoints\within_domain_trained_thai_fingerspelling_mlp_raw_3shot.pt
thai_fingerspelling,mlp,raw,5,5,1337,5,5,600,600,5,5,0.852467,0.008516,0.449237,1998,863,42,results\checkpoints\within_domain_trained_thai_fingerspelling_mlp_raw_5shot.pt
asl_alphabet,mlp,angle,5,1,1337,5,5,600,600,5,5,0.953200,0.005876,0.119190,1118,501,36,results\checkpoints\within_domain_trained_asl_alphabet_mlp_angle_1shot.pt
asl_alphabet,mlp,angle,5,3,1337,5,5,600,600,5,5,0.973067,0.003835,0.073004,1118,501,36,results\checkpoints\within_domain_trained_asl_alphabet_mlp_angle_3shot.pt
asl_alphabet,mlp,angle,5,5,1337,5,5,600,600,5,5,0.977400,0.003239,0.065379,1118,501,36,results\checkpoints\within_domain_trained_asl_alphabet_mlp_angle_5shot.pt
arabic_sign_alphabet,mlp,angle,5,1,1337,5,5,600,600,5,5,0.932067,0.006753,0.209465,4952,2142,31,results\checkpoints\within_domain_trained_arabic_sign_alphabet_mlp_angle_1shot.pt
arabic_sign_alphabet,mlp,angle,5,3,1337,5,5,600,600,5,5,0.960667,0.004380,0.116911,4952,2142,31,results\checkpoints\within_domain_trained_arabic_sign_alphabet_mlp_angle_3shot.pt
arabic_sign_alphabet,mlp,angle,5,5,1337,5,5,600,600,5,5,0.963733,0.004319,0.112992,4952,2142,31,results\checkpoints\within_domain_trained_arabic_sign_alphabet_mlp_angle_5shot.pt
libras_alphabet,mlp,angle,5,1,1337,5,5,600,600,5,5,0.986933,0.002871,0.043402,31973,13713,21,results\checkpoints\within_domain_trained_libras_alphabet_mlp_angle_1shot.pt
libras_alphabet,mlp,angle,5,3,1337,5,5,600,600,5,5,0.991867,0.002169,0.026450,31973,13713,21,results\checkpoints\within_domain_trained_libras_alphabet_mlp_angle_3shot.pt
libras_alphabet,mlp,angle,5,5,1337,5,5,600,600,5,5,0.994067,0.001535,0.020774,31973,13713,21,results\checkpoints\within_domain_trained_libras_alphabet_mlp_angle_5shot.pt
thai_fingerspelling,mlp,angle,5,1,1337,5,5,600,600,5,5,0.734067,0.011634,0.795517,1998,863,42,results\checkpoints\within_domain_trained_thai_fingerspelling_mlp_angle_1shot.pt
thai_fingerspelling,mlp,angle,5,3,1337,5,5,600,600,5,5,0.824000,0.009015,0.524409,1998,863,42,results\checkpoints\within_domain_trained_thai_fingerspelling_mlp_angle_3shot.pt
thai_fingerspelling,mlp,angle,5,5,1337,5,5,600,600,5,5,0.834400,0.008435,0.466704,1998,863,42,results\checkpoints\within_domain_trained_thai_fingerspelling_mlp_angle_5shot.pt
asl_alphabet,mlp,raw_angle,5,1,1337,5,5,600,600,5,5,0.980600,0.003839,0.054589,1118,501,36,results\checkpoints\within_domain_trained_asl_alphabet_mlp_raw_angle_1shot.pt
asl_alphabet,mlp,raw_angle,5,3,1337,5,5,600,600,5,5,0.986733,0.002808,0.039363,1118,501,36,results\checkpoints\within_domain_trained_asl_alphabet_mlp_raw_angle_3shot.pt
asl_alphabet,mlp,raw_angle,5,5,1337,5,5,600,600,5,5,0.988933,0.002310,0.034159,1118,501,36,results\checkpoints\within_domain_trained_asl_alphabet_mlp_raw_angle_5shot.pt
arabic_sign_alphabet,mlp,raw_angle,5,1,1337,5,5,600,600,5,5,0.957000,0.005108,0.123847,4952,2142,31,results\checkpoints\within_domain_trained_arabic_sign_alphabet_mlp_raw_angle_1shot.pt
arabic_sign_alphabet,mlp,raw_angle,5,3,1337,5,5,600,600,5,5,0.980333,0.002699,0.061777,4952,2142,31,results\checkpoints\within_domain_trained_arabic_sign_alphabet_mlp_raw_angle_3shot.pt
arabic_sign_alphabet,mlp,raw_angle,5,5,1337,5,5,600,600,5,5,0.983333,0.002425,0.053910,4952,2142,31,results\checkpoints\within_domain_trained_arabic_sign_alphabet_mlp_raw_angle_5shot.pt
libras_alphabet,mlp,raw_angle,5,1,1337,5,5,600,600,5,5,0.992133,0.002199,0.024239,31973,13713,21,results\checkpoints\within_domain_trained_libras_alphabet_mlp_raw_angle_1shot.pt
libras_alphabet,mlp,raw_angle,5,3,1337,5,5,600,600,5,5,0.996933,0.001098,0.010940,31973,13713,21,results\checkpoints\within_domain_trained_libras_alphabet_mlp_raw_angle_3shot.pt
libras_alphabet,mlp,raw_angle,5,5,1337,5,5,600,600,5,5,0.997667,0.000857,0.007849,31973,13713,21,results\checkpoints\within_domain_trained_libras_alphabet_mlp_raw_angle_5shot.pt
thai_fingerspelling,mlp,raw_angle,5,1,1337,5,5,600,600,5,5,0.779667,0.011216,0.669736,1998,863,42,results\checkpoints\within_domain_trained_thai_fingerspelling_mlp_raw_angle_1shot.pt
thai_fingerspelling,mlp,raw_angle,5,3,1337,5,5,600,600,5,5,0.859800,0.008564,0.429050,1998,863,42,results\checkpoints\within_domain_trained_thai_fingerspelling_mlp_raw_angle_3shot.pt
